candidate_1,candidate_2,similarity,party_1,party_2,same_party
Caspar Stefani (C),Joachim Høyrup (V),0.5219480354430289,C,V,False
Helle Sjelle (M),Merete Winther Hildebrandt (C),0.5216212861302515,M,C,False
Asbjørn Dalgaard (A),Christina Sylvest-Noer (A),0.5213910301735759,A,A,True
Fasael Rehman (C),Lotte Kofoed (F),0.5212655896091827,C,F,False
Kristoffer Appel (A),Tone Høybye (Ø),0.520932474174545,A,Ø,False
Rami Zouzou (C),Tone Høybye (Ø),0.5207508927153839,C,Ø,False
Freja Fokdal (B),Malene Sandfeld (V),0.5205953646897141,B,V,False
Julius Lundsteen (F),Mads Freund (M),0.5203792906257285,F,M,False
Malou Ananiassen (C),Susanne Nørlund Munk (A),0.5203137565128477,C,A,False
August Gade (F),Fasael Rehman (C),0.5201672097402305,F,C,False
Else Guldager (Ø),Joachim Høyrup (V),0.5199489013078914,Ø,V,False
Casper Pedersen (V),Malene Sandfeld (V),0.5192931938105649,V,V,True
Freja Fokdal (B),Jimmy Streit (C),0.5188063524212582,B,C,False
Cecilie Fisker (M),Tone Høybye (Ø),0.5187376430230446,M,Ø,False
August Gade (F),Vibeke Westh (A),0.5186952644992976,F,A,False
August Gade (F),Daniel Panduro (Ø),0.5185115450637874,F,Ø,False
Mette Bram (Å),Palle Bisgaard (Ø),0.5180276355810853,Å,Ø,False
Daniel Panduro (Ø),Merete Winther Hildebrandt (C),0.517982157018302,Ø,C,False
Klaus Eskelund (C),Malte Mathies Løcke (A),0.517911139839856,C,A,False
August Gade (F),Per Odin Thiim Thim (E),0.517851693626863,F,E,False
Isabel Havndrup Aackmann (B),Rikke Alice Bille (B),0.5177845498497485,B,B,True
Helle Sjelle (M),Tim Tue Wodskou (Å),0.5176521871886333,M,Å,False
Kristoffer Appel (A),Lars Berg Andersen (I),0.5173639554703102,A,I,False
Jacob Rosenberg (C),Michella Lescher (F),0.517265927246476,C,F,False
Helle Sjelle (M),Kristoffer Appel (A),0.5170684402270891,M,A,False
Eva Bechmann (Æ),Frederik Tuxen Bjerrum (I),0.5168301112997031,Æ,I,False
Joachim Høyrup (V),Kristoffer Appel (A),0.5168047982999953,V,A,False
Frederik Tuxen Bjerrum (I),Per Odin Thiim Thim (E),0.5167394907318702,I,E,False
Fasael Rehman (C),Malene Sandfeld (V),0.5165448194533053,C,V,False
Ebbe Wendt Lorenzen (A),Lotte Kofoed (F),0.5160223927615694,A,F,False
Frederik Tuxen Bjerrum (I),Rami Zouzou (C),0.5159815474527382,I,C,False
Casper Pedersen (V),Helle Sjelle (M),0.515368456461553,V,M,False
Joachim Høyrup (V),Merete Winther Hildebrandt (C),0.5150797061134388,V,C,False
Frederik Tuxen Bjerrum (I),Michella Lescher (F),0.5150712885518822,I,F,False
Casper Pedersen (V),Lotte Kofoed (F),0.5148166677528373,V,F,False
Tone Høybye (Ø),Vibeke Westh (A),0.5144838254825115,Ø,A,False
August Gade (F),Tone Høybye (Ø),0.5141961090287003,F,Ø,False
Bianca Vitting (Ø),Kristoffer Appel (A),0.5139673600123881,Ø,A,False
Britt Dam (A),Isabel Havndrup Aackmann (B),0.5138951779981775,A,B,False
Bianca Vitting (Ø),Susanne Nørlund Munk (A),0.5137377053635365,Ø,A,False
